CustomerID,InvoiceNo,InvoiceDate,Amount
C080,1001,2025-07-20,415.56
C010,1002,2024-08-21,578.77
C044,1003,2024-12-11,1381.46
C091,1004,2025-06-03,1246.91
C071,1005,2025-10-21,229.58
C083,1006,2024-12-26,1214.21
C044,1007,2024-03-28,607.46
C075,1008,2024-08-06,436.4
C078,1009,2024-10-09,906.19
C013,1010,2025-02-26,1720.57
C048,1011,2024-08-21,731.7
C094,1012,2024-09-25,595.54
C013,1013,2025-12-07,230.61
C054,1014,2025-02-11,355.19
C089,1015,2024-12-08,1789.11
C051,1016,2024-03-18,824.65
C068,1017,2025-08-12,1127.3
C029,1018,2025-03-14,1931.94
C006,1019,2025-05-07,1781.72
C030,1020,2024-04-06,1368.1
C068,1021,2025-01-07,51.13
C025,1022,2024-10-11,1526.14
C053,1023,2025-11-07,1247.77
C073,1024,2024-01-30,1739.38
C059,1025,2024-12-11,617.04
C048,1026,2024-05-16,626.43
C087,1027,2024-03-02,1054.9
C075,1028,2025-07-31,1882.43
C035,1029,2025-08-29,472.38
C073,1030,2025-08-28,1848.99
C034,1031,2025-05-14,657.28
C096,1032,2025-09-15,1351.23
C002,1033,2025-10-28,1802.29
C096,1034,2024-04-25,686.65
C055,1035,2025-10-26,1324.73
C001,1036,2025-10-25,1547.99
C030,1037,2024-03-23,263.94
C048,1038,2024-08-10,895.02
C010,1039,2024-02-28,101.08
C024,1040,2024-12-28,1716.11
C016,1041,2025-09-01,815.85
C048,1042,2024-08-20,1594.33
C066,1043,2024-10-28,1640.97
C076,1044,2024-12-13,485.87
C037,1045,2024-01-01,1057.21
C043,1046,2025-11-21,223.89
C027,1047,2024-08-14,1378.51
C068,1048,2025-05-22,813.96
C097,1049,2025-10-17,1284.59
C062,1050,2024-02-02,1004.5
C074,1051,2025-12-24,1505.62
C019,1052,2025-10-19,926.68
C087,1053,2024-11-08,640.92
C095,1054,2025-06-14,1369.6
C076,1055,2024-05-16,977.12
C027,1056,2025-06-26,150.05
C043,1057,2024-05-23,296.55
C076,1058,2024-08-27,350.63
C052,1059,2024-08-15,58.56
C052,1060,2024-12-01,1602.37
C036,1061,2025-06-14,706.68
C052,1062,2025-11-15,1158.92
C018,1063,2025-11-07,1496.19
C077,1064,2024-03-29,1396.98
C040,1065,2024-03-01,155.56
C022,1066,2024-11-17,1995.35
C069,1067,2024-03-08,484.55
C055,1068,2024-07-30,1744.49
C056,1069,2025-09-18,907.32
C025,1070,2024-02-28,870.81
C046,1071,2025-06-17,1383.95
C007,1072,2025-10-10,1196.84
C027,1073,2024-11-09,1755.58
C079,1074,2025-06-06,435.51
C007,1075,2024-06-14,1581.19
C058,1076,2025-12-27,458.75
C035,1077,2024-03-12,1784.58
C008,1078,2024-07-11,1506.94
C070,1079,2024-03-24,165.92
C066,1080,2025-08-19,1333.26
C097,1081,2024-01-04,1330.7
C054,1082,2024-09-04,973.92
C096,1083,2025-05-09,511.31
C097,1084,2025-03-19,573.39
C012,1085,2024-05-31,1923.57
C062,1086,2024-10-02,716.14
C030,1087,2025-05-06,294.4
C043,1088,2025-01-08,1059.21
C021,1089,2025-04-28,1652.43
C090,1090,2025-02-07,1925.67
C061,1091,2024-10-17,629.37
C063,1092,2025-07-07,500.47
C049,1093,2025-08-01,292.87
C061,1094,2024-11-18,1195.51
C046,1095,2025-02-07,83.02
C039,1096,2025-12-03,456.97
C054,1097,2025-07-18,631.71
C024,1098,2024-03-27,625.31
C032,1099,2024-07-30,1677.42
C029,1100,2024-01-20,1798.77
C038,1101,2025-10-12,1830.32
C085,1102,2025-12-11,320.04
C061,1103,2024-08-04,278.98
C022,1104,2025-04-26,1097.58
C032,1105,2024-02-24,843.45
C026,1106,2024-10-24,1295.29
C031,1107,2025-02-01,1909.72
C011,1108,2024-03-28,111.09
C080,1109,2025-10-29,1832.39
C030,1110,2024-09-28,1590.08
C023,1111,2025-03-30,834.41
C045,1112,2024-05-22,1906.19
C006,1113,2024-06-01,970.42
C034,1114,2025-07-26,1987.08
C086,1115,2024-05-19,1354.09
C093,1116,2024-10-24,780.57
C048,1117,2024-11-02,1586.99
C056,1118,2025-03-27,660.9
C040,1119,2025-05-02,412.38
C094,1120,2025-11-28,266.88
C040,1121,2024-12-24,682.31
C100,1122,2025-11-10,457.55
C019,1123,2025-05-09,1140.07
C055,1124,2025-09-18,312.29
C077,1125,2024-09-14,1332.6
C047,1126,2024-03-31,891.61
C015,1127,2025-07-31,1367.14
C063,1128,2025-05-22,639.88
C075,1129,2025-02-20,936.54
C069,1130,2024-01-30,1557.73
C034,1131,2024-11-21,916.63
C082,1132,2024-01-12,181.44
C100,1133,2024-05-03,1412.48
C048,1134,2024-09-05,1016
C069,1135,2024-12-17,1761.83
C099,1136,2025-01-24,1496.97
C021,1137,2025-02-06,1714.67
C024,1138,2024-07-14,1665.21
C052,1139,2025-08-05,376
C057,1140,2025-06-11,655.62
C017,1141,2024-04-19,237.34
C021,1142,2025-07-18,1143.06
C024,1143,2024-02-18,950.72
C086,1144,2025-04-07,555.22
C011,1145,2024-02-07,1174.08
C083,1146,2025-03-07,943.09
C077,1147,2024-11-02,861.6
C020,1148,2024-09-11,824.36
C082,1149,2024-08-30,341.57
C084,1150,2024-08-19,1960.6
C047,1151,2024-11-09,248.87
C089,1152,2024-12-31,190.97
C096,1153,2024-10-03,258.67
C055,1154,2024-02-06,368.73
C039,1155,2025-05-09,500.81
C001,1156,2024-10-18,816.44
C093,1157,2025-11-25,1953.98
C083,1158,2024-10-11,1815.78
C034,1159,2025-05-25,1497.62
C023,1160,2024-01-22,708.07
C045,1161,2024-07-04,1599.74
C005,1162,2024-04-12,1527.2
C040,1163,2024-06-13,816.06
C059,1164,2025-11-21,494.63
C091,1165,2024-04-14,830.13
C060,1166,2025-08-23,838.37
C081,1167,2024-04-21,225.85
C049,1168,2024-07-13,1719.82
C014,1169,2025-07-09,1767.96
C091,1170,2025-08-02,1536.47
C088,1171,2025-02-18,1867.15
C047,1172,2024-03-06,1014
C023,1173,2024-05-15,1039.66
C042,1174,2025-09-16,1000.58
C060,1175,2025-06-26,1725.05
C096,1176,2024-09-17,1136.2
C006,1177,2025-04-25,1221.2
C012,1178,2025-11-21,150.8
C028,1179,2024-08-26,1720.62
C046,1180,2024-07-08,748.93
